DayOfWeek,DOT_ID_Operating_Airline,DepDelayMinutes,OriginWac,DestWac,CRSDepTime,CRSArrTime,ArrDelayMinutes,Distance
2,19393,18.0,33,42,750,1010,10.0,837.0
2,19393,92.0,33,22,1650,1935,84.0,1010.0
2,19393,0.0,33,22,1115,1400,0.0,1010.0
2,19393,15.0,33,64,1750,1935,6.0,1048.0
2,19393,0.0,33,64,525,705,0.0,1048.0
2,19393,0.0,33,41,845,1020,0.0,997.0
2,19393,78.0,33,41,2250,25,65.0,997.0
2,19393,23.0,33,41,1945,2125,27.0,997.0
2,19393,10.0,33,41,540,720,0.0,997.0
2,19393,0.0,33,72,1725,1800,0.0,488.0
2,19393,0.0,33,72,1025,1100,0.0,488.0
2,19393,0.0,33,72,530,610,0.0,488.0
2,19393,1.0,33,41,1110,1300,0.0,1011.0
2,19393,14.0,33,81,1445,1600,11.0,1788.0
2,19393,39.0,33,23,1825,2045,26.0,873.0
2,19393,0.0,33,15,700,950,0.0,1136.0
2,19393,0.0,33,36,1515,1705,0.0,587.0
2,19393,10.0,33,74,1130,1305,8.0,972.0
2,19393,6.0,33,52,1635,1845,0.0,727.0
2,19393,7.0,33,3,2000,2300,0.0,1237.0
2,19393,0.0,33,64,535,650,0.0,869.0
2,19393,0.0,33,64,2000,2120,0.0,869.0
2,19393,0.0,73,74,1205,1330,0.0,426.0
2,19393,0.0,73,74,1105,1210,0.0,238.0
2,19393,23.0,73,74,1845,1955,3.0,238.0
2,19393,0.0,73,74,1555,1700,0.0,238.0
2,19393,0.0,73,74,525,630,0.0,238.0
2,19393,26.0,73,82,2040,2125,25.0,541.0
2,19393,0.0,73,82,1525,1610,0.0,541.0
2,19393,0.0,73,82,515,600,0.0,541.0
2,19393,20.0,73,74,1905,2035,11.0,453.0
2,19393,0.0,73,74,610,740,0.0,453.0
2,19393,1.0,73,85,1100,1145,1.0,1076.0
2,19393,0.0,73,41,1430,1625,0.0,583.0
2,19393,10.0,73,41,1015,1210,0.0,583.0
2,19393,0.0,73,81,730,805,0.0,935.0
2,19393,0.0,73,64,1655,1810,0.0,351.0
2,19393,0.0,73,64,830,950,0.0,351.0
2,19393,0.0,81,82,635,930,0.0,639.0
2,19393,0.0,81,82,1535,1830,26.0,639.0
2,19393,0.0,81,74,1110,1540,0.0,945.0
2,19393,0.0,81,85,505,625,0.0,365.0
2,19393,0.0,81,85,1120,1240,0.0,365.0
2,19393,0.0,81,85,1450,1605,11.0,365.0
2,19393,0.0,81,91,1710,1845,0.0,451.0
2,19393,0.0,81,91,1025,1155,0.0,451.0
2,19393,0.0,81,91,1000,1115,0.0,368.0
2,19393,0.0,33,54,955,1130,0.0,389.0
2,19393,0.0,33,54,615,750,0.0,389.0
2,19393,71.0,33,35,1800,2110,94.0,819.0
2,19393,48.0,33,74,1110,1310,29.0,630.0
3,19393,2.0,86,74,1035,1315,0.0,619.0
3,19393,8.0,86,91,1820,1910,14.0,672.0
3,19393,0.0,86,74,640,925,0.0,580.0
3,19393,0.0,86,74,1030,1315,0.0,580.0
3,19393,28.0,86,74,1300,1545,22.0,580.0
3,19393,15.0,86,74,1805,2050,7.0,580.0
3,19393,0.0,86,82,505,630,0.0,349.0
3,19393,0.0,86,82,945,1110,0.0,349.0
3,19393,6.0,86,82,1725,1845,5.0,349.0
3,19393,0.0,86,82,1155,1310,0.0,349.0
3,19393,1.0,86,74,545,850,0.0,759.0
3,19393,5.0,86,74,1605,1910,0.0,759.0
3,19393,0.0,86,85,525,600,0.0,486.0
3,19393,0.0,86,85,1450,1520,0.0,486.0
3,19393,28.0,86,85,2105,2140,28.0,486.0
3,19393,0.0,86,91,1340,1435,0.0,677.0
3,19393,0.0,86,41,1405,1745,0.0,1121.0
3,19393,0.0,86,91,625,745,0.0,889.0
3,19393,0.0,86,81,1100,1120,0.0,328.0
3,19393,0.0,86,81,710,730,0.0,328.0
3,19393,74.0,86,81,2050,2105,67.0,328.0
3,19393,11.0,86,91,1420,1505,4.0,628.0
3,19393,0.0,22,35,605,720,0.0,289.0
3,19393,0.0,22,35,930,1045,0.0,289.0
3,19393,0.0,22,35,1525,1645,14.0,289.0
3,19393,0.0,22,35,1820,1940,0.0,289.0
3,19393,0.0,22,35,1225,1340,14.0,289.0
3,19393,0.0,22,35,1405,1520,0.0,289.0
3,19393,0.0,22,33,1045,1345,0.0,1073.0
3,19393,0.0,22,41,505,610,0.0,717.0
3,19393,1.0,22,41,1950,2055,6.0,717.0
3,19393,0.0,22,41,1235,1345,0.0,717.0
3,19393,83.0,74,74,645,755,85.0,418.0
3,19393,0.0,74,74,600,715,0.0,323.0
3,19393,0.0,74,74,1725,1835,0.0,323.0
3,19393,0.0,74,74,1035,1145,0.0,323.0
3,19393,0.0,74,74,1950,2100,20.0,323.0
3,19393,25.0,74,82,1400,1425,19.0,359.0
3,19393,0.0,74,85,1630,1640,5.0,758.0
3,19393,0.0,34,74,630,750,0.0,813.0
3,19393,2.0,34,74,1105,1230,0.0,813.0
3,19393,41.0,34,74,2000,2120,43.0,813.0
3,19393,8.0,34,54,1635,1645,7.0,214.0
3,19393,7.0,34,54,840,855,0.0,214.0
3,19393,11.0,34,54,2010,2025,0.0,214.0
3,19393,0.0,34,35,700,845,0.0,577.0
3,19393,114.0,34,35,1950,2140,99.0,577.0
3,19393,6.0,34,35,1220,1410,0.0,577.0
3,19393,8.0,34,35,2255,45,0.0,577.0
3,19393,0.0,34,44,815,1000,0.0,554.0
3,19393,0.0,34,44,810,945,0.0,447.0
3,19393,0.0,34,74,1515,1625,0.0,721.0
3,19393,56.0,34,74,2000,2110,47.0,721.0
3,19393,0.0,34,74,620,725,7.0,721.0
3,19393,0.0,34,74,820,925,0.0,721.0
3,19393,34.0,34,38,1605,1755,30.0,547.0
3,19393,0.0,34,38,820,1005,0.0,547.0
3,19393,0.0,34,38,1045,1230,0.0,547.0
3,19393,52.0,34,38,2025,2215,39.0,547.0
3,19393,2.0,34,82,625,735,0.0,1199.0
3,19393,19.0,34,82,1355,1505,10.0,1199.0
3,19393,55.0,34,82,1850,2005,43.0,1199.0
3,19393,0.0,34,33,800,955,0.0,581.0
3,19393,63.0,34,33,1650,1855,53.0,581.0
3,19393,24.0,34,33,2155,2355,0.0,581.0
3,19393,9.0,34,37,1010,1115,0.0,153.0
3,19393,0.0,34,37,2245,2345,0.0,153.0
3,19393,15.0,34,74,1800,1910,30.0,696.0
3,19393,199.0,34,74,2050,2200,182.0,696.0
3,19393,11.0,34,74,905,1010,0.0,696.0
3,19393,0.0,34,74,615,720,0.0,696.0
3,19393,9.0,34,38,1010,1155,0.0,534.0
3,19393,4.0,34,42,820,955,10.0,432.0
3,19393,95.0,34,42,2000,2130,82.0,432.0
3,19393,0.0,34,53,1335,1350,0.0,341.0
3,19393,11.0,34,53,2235,2255,5.0,341.0
3,19393,0.0,34,53,815,835,0.0,341.0
3,19393,4.0,34,33,1020,1135,0.0,270.0
3,19393,4.0,34,33,2210,2320,0.0,270.0
3,19393,0.0,34,85,635,740,0.0,1747.0
3,19393,0.0,34,22,610,825,0.0,762.0
3,19393,9.0,34,22,1520,1740,13.0,762.0
3,19393,0.0,34,22,1045,1300,0.0,762.0
3,19393,37.0,34,22,2025,2245,19.0,762.0
3,19393,1.0,34,71,820,850,1.0,453.0
3,19393,49.0,34,64,2000,2105,39.0,692.0
3,19393,0.0,34,64,815,925,0.0,692.0
3,19393,8.0,34,33,700,830,0.0,404.0
3,19393,13.0,34,33,1900,2030,43.0,404.0
3,19393,28.0,34,33,2200,2330,21.0,404.0
3,19393,0.0,34,33,1455,1625,0.0,404.0
3,19393,38.0,34,41,1330,1420,30.0,591.0
3,19393,67.0,34,41,1935,2030,55.0,591.0
3,19393,64.0,34,41,2105,2200,49.0,591.0
3,19393,2.0,34,41,825,920,0.0,591.0
3,19393,0.0,34,41,625,715,0.0,591.0
3,19393,75.0,34,54,2005,2025,66.0,332.0
3,19393,0.0,34,54,815,835,23.0,332.0
3,19393,22.0,34,33,2220,20,12.0,594.0
3,19393,14.0,34,33,1010,1210,5.0,594.0
3,19393,7.0,34,45,910,1015,0.0,669.0
3,19393,0.0,34,72,1430,1500,0.0,425.0
3,19393,7.0,34,72,2200,2230,0.0,425.0
3,19393,16.0,34,72,1010,1040,21.0,425.0
3,19393,43.0,34,37,2210,2325,30.0,317.0
3,19393,53.0,34,73,800,905,46.0,761.0
3,19393,0.0,34,65,840,1005,0.0,821.0
3,19393,7.0,34,33,1620,1805,4.0,545.0
3,19393,9.0,34,23,930,1135,0.0,666.0
3,19393,8.0,34,23,2200,5,0.0,666.0
3,19393,1.0,34,81,615,710,0.0,1587.0
3,19393,16.0,34,23,1330,1505,8.0,526.0
3,19393,2.0,34,36,2155,2320,0.0,356.0
3,19393,3.0,34,36,1015,1150,0.0,356.0
3,19393,27.0,34,38,2200,2335,8.0,481.0
3,19393,0.0,34,38,1015,1150,0.0,481.0
3,19393,16.0,34,33,2155,2335,8.0,515.0
3,19393,57.0,34,74,2030,2200,39.0,874.0
3,19393,0.0,34,74,815,940,0.0,874.0
3,19393,35.0,34,52,1725,1840,31.0,321.0
3,19393,26.0,34,33,1010,1145,10.0,444.0
3,19393,0.0,34,33,2210,2345,0.0,444.0
3,19393,0.0,34,64,700,740,0.0,484.0
3,19393,20.0,34,64,2010,2050,10.0,484.0
3,19393,21.0,34,64,1135,1210,12.0,484.0
3,19393,25.0,34,33,605,730,15.0,406.0
3,19393,19.0,34,33,2210,2335,5.0,406.0
3,19393,12.0,34,33,1220,1345,10.0,406.0
3,19393,0.0,74,86,1255,1335,2.0,619.0
3,19393,0.0,74,74,1935,2100,0.0,418.0
3,19393,0.0,74,34,540,855,0.0,813.0
3,19393,0.0,74,34,2105,20,0.0,813.0
3,19393,51.0,74,34,1635,1950,44.0,813.0
3,19393,0.0,74,54,1610,1820,0.0,756.0
3,19393,0.0,74,54,1225,1435,0.0,756.0
3,19393,0.0,74,54,2120,2325,0.0,756.0
3,19393,0.0,74,54,1830,2040,0.0,756.0
3,19393,46.0,74,54,640,850,34.0,756.0
3,19393,0.0,74,91,955,1100,0.0,1241.0
3,19393,0.0,74,35,515,930,0.0,1342.0
3,19393,3.0,74,35,1105,1520,0.0,1342.0
3,19393,18.0,74,35,1705,2125,0.0,1342.0
3,19393,13.0,74,37,1450,1830,16.0,1055.0
3,19393,0.0,74,44,830,1205,0.0,1073.0
3,19393,0.0,74,74,2155,2255,0.0,189.0
3,19393,0.0,74,74,740,840,0.0,189.0
3,19393,5.0,74,74,1800,1900,0.0,189.0
3,19393,0.0,74,74,2045,2145,0.0,189.0
3,19393,0.0,74,74,1300,1405,0.0,189.0
3,19393,0.0,74,74,900,1005,0.0,189.0
3,19393,0.0,74,74,535,635,0.0,189.0
3,19393,3.0,74,74,1530,1635,0.0,189.0
3,19393,3.0,74,74,1130,1235,0.0,189.0
3,19393,0.0,74,38,1240,1655,0.0,1315.0
3,19393,0.0,74,82,2040,2200,0.0,775.0
3,19393,0.0,74,82,505,620,0.0,775.0
3,19393,53.0,74,82,645,755,42.0,775.0
3,19393,7.0,74,82,1415,1525,0.0,775.0
3,19393,2.0,74,82,1850,2010,0.0,775.0
3,19393,19.0,74,82,2240,2355,0.0,775.0
3,19393,0.0,74,82,1100,1210,0.0,775.0
3,19393,7.0,74,33,1525,1720,0.0,710.0
3,19393,20.0,74,74,1605,1630,40.0,528.0
3,19393,0.0,74,74,735,805,0.0,528.0
3,19393,5.0,74,74,2015,2040,4.0,528.0
3,19393,6.0,74,33,1705,2055,0.0,1105.0
3,19393,0.0,74,33,610,1000,0.0,1105.0
3,19393,71.0,74,74,2015,2110,64.0,148.0
3,19393,0.0,74,74,840,935,0.0,148.0
3,19393,1.0,74,74,1420,1520,0.0,148.0
3,19393,0.0,74,74,1620,1715,5.0,148.0
3,19393,76.0,74,74,830,935,66.0,273.0
3,19393,17.0,74,74,1620,1725,16.0,273.0
3,19393,0.0,74,42,1310,1635,0.0,919.0
3,19393,0.0,74,85,620,700,0.0,1090.0
3,19393,3.0,74,85,1355,1440,4.0,1090.0
3,19393,0.0,74,85,1745,1830,0.0,1090.0
3,19393,0.0,74,85,840,925,7.0,1090.0
3,19393,54.0,74,85,2155,2240,48.0,1090.0
3,19393,44.0,74,91,2205,2310,27.0,1242.0
3,19393,1.0,74,91,1715,1820,0.0,1242.0
3,19393,0.0,74,91,600,705,0.0,1242.0
3,19393,1.0,74,74,2015,2125,0.0,341.0
3,19393,0.0,74,91,1010,1105,0.0,1226.0
3,19393,0.0,74,91,1915,2010,0.0,1226.0
