DayOfWeek,DOT_ID_Operating_Airline,DepDelayMinutes,OriginWac,DestWac,CRSDepTime,CRSArrTime,ArrDelayMinutes,Distance
2,19393,3.0,33,42,0,1,1.0,2.0
2,19393,3.0,33,22,1,2,1.0,2.0
2,19393,0.0,33,22,1,1,0.0,2.0
2,19393,3.0,33,64,2,2,1.0,2.0
2,19393,0.0,33,64,0,0,0.0,2.0
2,19393,0.0,33,41,0,1,0.0,2.0
2,19393,3.0,33,41,2,2,1.0,2.0
2,19393,3.0,33,41,2,2,1.0,2.0
2,19393,3.0,33,41,0,0,0.0,2.0
2,19393,0.0,33,72,2,2,0.0,1.0
2,19393,0.0,33,72,1,1,0.0,1.0
2,19393,0.0,33,72,0,0,0.0,1.0
2,19393,1.0,33,41,1,1,0.0,2.0
2,19393,3.0,33,81,1,1,1.0,2.0
2,19393,3.0,33,23,2,2,1.0,2.0
2,19393,0.0,33,15,0,1,0.0,2.0
2,19393,0.0,33,36,1,2,0.0,1.0
2,19393,3.0,33,74,1,1,1.0,2.0
2,19393,2.0,33,52,1,2,0.0,1.0
2,19393,2.0,33,3,2,2,0.0,2.0
2,19393,0.0,33,64,0,0,0.0,2.0
2,19393,0.0,33,64,2,2,0.0,2.0
2,19393,0.0,73,74,1,1,0.0,1.0
2,19393,0.0,73,74,1,1,0.0,0.0
2,19393,3.0,73,74,2,2,1.0,0.0
2,19393,0.0,73,74,1,2,0.0,0.0
2,19393,0.0,73,74,0,0,0.0,0.0
2,19393,3.0,73,82,2,2,1.0,1.0
2,19393,0.0,73,82,1,1,0.0,1.0
2,19393,0.0,73,82,0,0,0.0,1.0
2,19393,3.0,73,74,2,2,1.0,1.0
2,19393,0.0,73,74,0,0,0.0,1.0
2,19393,1.0,73,85,1,1,1.0,2.0
2,19393,0.0,73,41,1,1,0.0,1.0
2,19393,3.0,73,41,1,1,0.0,1.0
2,19393,0.0,73,81,0,0,0.0,2.0
2,19393,0.0,73,64,1,2,0.0,0.0
2,19393,0.0,73,64,0,1,0.0,0.0
2,19393,0.0,81,82,0,1,0.0,1.0
2,19393,0.0,81,82,1,2,1.0,1.0
2,19393,0.0,81,74,1,1,0.0,2.0
2,19393,0.0,81,85,0,0,0.0,0.0
2,19393,0.0,81,85,1,1,0.0,0.0
2,19393,0.0,81,85,1,1,1.0,0.0
2,19393,0.0,81,91,2,2,0.0,1.0
2,19393,0.0,81,91,1,1,0.0,1.0
2,19393,0.0,81,91,1,1,0.0,0.0
2,19393,0.0,33,54,1,1,0.0,0.0
2,19393,0.0,33,54,0,0,0.0,0.0
2,19393,3.0,33,35,2,2,1.0,2.0
2,19393,3.0,33,74,1,1,1.0,1.0
3,19393,1.0,86,74,1,1,0.0,1.0
3,19393,2.0,86,91,2,2,1.0,1.0
3,19393,0.0,86,74,0,1,0.0,1.0
3,19393,0.0,86,74,1,1,0.0,1.0
3,19393,3.0,86,74,1,1,1.0,1.0
3,19393,3.0,86,74,2,2,1.0,1.0
3,19393,0.0,86,82,0,0,0.0,0.0
3,19393,0.0,86,82,1,1,0.0,0.0
3,19393,2.0,86,82,2,2,1.0,0.0
3,19393,0.0,86,82,1,1,0.0,0.0
3,19393,1.0,86,74,0,0,0.0,1.0
3,19393,2.0,86,74,1,2,0.0,1.0
3,19393,0.0,86,85,0,0,0.0,1.0
3,19393,0.0,86,85,1,1,0.0,1.0
3,19393,3.0,86,85,2,2,1.0,1.0
3,19393,0.0,86,91,1,1,0.0,1.0
3,19393,0.0,86,41,1,2,0.0,2.0
3,19393,0.0,86,91,0,0,0.0,2.0
3,19393,0.0,86,81,1,1,0.0,0.0
3,19393,0.0,86,81,0,0,0.0,0.0
3,19393,3.0,86,81,2,2,1.0,0.0
3,19393,3.0,86,91,1,1,1.0,1.0
3,19393,0.0,22,35,0,0,0.0,0.0
3,19393,0.0,22,35,1,1,0.0,0.0
3,19393,0.0,22,35,1,1,1.0,0.0
3,19393,0.0,22,35,2,2,0.0,0.0
3,19393,0.0,22,35,1,1,1.0,0.0
3,19393,0.0,22,35,1,1,0.0,0.0
3,19393,0.0,22,33,1,1,0.0,2.0
3,19393,0.0,22,41,0,0,0.0,1.0
3,19393,1.0,22,41,2,2,1.0,1.0
3,19393,0.0,22,41,1,1,0.0,1.0
3,19393,3.0,74,74,0,0,1.0,1.0
3,19393,0.0,74,74,0,0,0.0,0.0
3,19393,0.0,74,74,2,2,0.0,0.0
3,19393,0.0,74,74,1,1,0.0,0.0
3,19393,0.0,74,74,2,2,1.0,0.0
3,19393,3.0,74,82,1,1,1.0,0.0
3,19393,0.0,74,85,1,1,1.0,1.0
3,19393,0.0,34,74,0,0,0.0,2.0
3,19393,1.0,34,74,1,1,0.0,2.0
3,19393,3.0,34,74,2,2,1.0,2.0
3,19393,2.0,34,54,1,1,1.0,0.0
3,19393,2.0,34,54,0,0,0.0,0.0
3,19393,3.0,34,54,2,2,0.0,0.0
3,19393,0.0,34,35,0,0,0.0,1.0
3,19393,3.0,34,35,2,2,1.0,1.0
3,19393,2.0,34,35,1,1,0.0,1.0
3,19393,2.0,34,35,2,2,0.0,1.0
3,19393,0.0,34,44,0,1,0.0,1.0
3,19393,0.0,34,44,0,1,0.0,1.0
3,19393,0.0,34,74,1,1,0.0,1.0
3,19393,3.0,34,74,2,2,1.0,1.0
3,19393,0.0,34,74,0,0,1.0,1.0
3,19393,0.0,34,74,0,1,0.0,1.0
3,19393,3.0,34,38,1,2,1.0,1.0
3,19393,0.0,34,38,0,1,0.0,1.0
3,19393,0.0,34,38,1,1,0.0,1.0
3,19393,3.0,34,38,2,2,1.0,1.0
3,19393,1.0,34,82,0,0,0.0,2.0
3,19393,3.0,34,82,1,1,1.0,2.0
3,19393,3.0,34,82,2,2,1.0,2.0
3,19393,0.0,34,33,0,1,0.0,1.0
3,19393,3.0,34,33,1,2,1.0,1.0
3,19393,3.0,34,33,2,2,0.0,1.0
3,19393,2.0,34,37,1,1,0.0,0.0
3,19393,0.0,34,37,2,2,0.0,0.0
3,19393,3.0,34,74,2,2,1.0,1.0
3,19393,3.0,34,74,2,2,1.0,1.0
3,19393,3.0,34,74,1,1,0.0,1.0
3,19393,0.0,34,74,0,0,0.0,1.0
3,19393,2.0,34,38,1,1,0.0,1.0
3,19393,1.0,34,42,0,1,1.0,1.0
3,19393,3.0,34,42,2,2,1.0,1.0
